,Ulysses,Hector,Agamemnon,Troilus,Aeneas,Nestor,Pandarus,Achilles,Cressida,Thersites,Diomedes,Ajax,Paris,Calchas,Patroclus,Cassandra,Menelaus,Helen,Priam,Alexander,Andromache,Helenus,SERVANTS.PARIS.1,Deiphobus,SOLDIERS,MYRMIDONS.0.1,Boy,Bastard,SERVANTS.TROILUS.1,SERVANTS.DIOMEDES.1,SOLDIERS.TROJAN,Antenor,SERVANTS.AENEAS.1,SOLDIERS.GREEK,ATTENDANTS.GREEK,MYRMIDONS,ATTENDANTS.TROJAN,SOLDIERS.GREEK.1,Trumpeter
Ulysses,0,288,2583,571,275,2954,0,1574,321,230,2610,1266,167,655,1573,0,1813,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,1694,0,167,0,479
Hector,744,40,733,1593,712,744,0,755,0,58,744,744,897,0,712,168,733,0,739,0,298,897,0,0,0,0,0,0,0,0,0,0,0,0,712,10,285,118,712
Agamemnon,1466,276,0,276,486,1606,0,398,24,33,1561,1037,98,583,699,0,1082,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,48,882,0,98,0,556
Troilus,867,1010,8,315,636,15,1166,15,1677,782,430,50,1230,0,8,16,8,0,775,0,168,767,0,463,0,0,0,0,5,0,291,463,0,0,8,0,8,0,8
Aeneas,772,206,739,403,0,739,193,206,14,33,729,206,454,0,206,0,739,0,0,0,0,197,0,257,0,0,0,0,0,0,34,257,165,0,904,0,197,0,739
Nestor,1228,230,1012,230,341,0,0,278,32,0,988,434,8,152,405,0,730,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,126,710,0,8,0,373
Pandarus,0,0,0,1337,71,0,276,0,2344,0,0,0,558,0,0,0,0,551,0,795,0,0,730,7,0,0,27,0,25,0,7,7,0,0,0,0,551,0,0
Achilles,705,471,306,227,183,332,0,0,16,514,224,526,34,15,1277,0,260,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,204,253,34,178,204
Cressida,527,0,91,1425,0,91,1748,91,0,436,527,91,0,0,91,0,91,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,91
Thersites,171,33,64,142,0,64,0,1117,70,1055,155,769,46,50,1160,0,60,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
